type,clip,f0,f1,f2,f3,f4,f5,f6,f7
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_0.mp4,0.41840994358062744,0.41877421736717224,0.41816025972366333,0.2941449284553528,0.4524191617965698,0.26898911595344543,97.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_1.mp4,0.41824090480804443,0.4182417690753937,0.41816025972366333,0.3329082131385803,0.5373209714889526,0.26655590534210205,101.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_2.mp4,0.3622829020023346,0.1571909636259079,0.1571909636259079,0.2374565154314041,0.19213689863681793,0.33956071734428406,98.0,0.030612245202064514
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_3.mp4,0.4472382664680481,0.46648743748664856,0.4170519709587097,0.3294638991355896,0.5596548318862915,0.2706701457500458,112.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_4.mp4,0.36926397681236267,0.15753354132175446,0.15753354132175446,0.2246353179216385,0.15938499569892883,0.2945413291454315,96.0,0.03125
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_5.mp4,0.4224735200405121,0.42668527364730835,0.41816025972366333,0.29653552174568176,0.4271034598350525,0.23779277503490448,89.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_6.mp4,0.4188883304595947,0.41998058557510376,0.41816025972366333,0.310727596282959,0.4761871099472046,0.2593795657157898,91.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_7.mp4,0.418781042098999,0.4194968044757843,0.41816025972366333,0.32072708010673523,0.5271833539009094,0.27005600929260254,99.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_8.mp4,0.36336857080459595,0.154653400182724,0.154653400182724,0.23353330790996552,0.19030845165252686,0.3331069052219391,94.0,0.03191489353775978
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_9.mp4,0.41830840706825256,0.4185622036457062,0.41738659143447876,0.3021245300769806,0.504691481590271,0.26361989974975586,103.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_10.mp4,0.42624470591545105,0.4419906437397003,0.40758079290390015,0.32308492064476013,0.5477750301361084,0.27320626378059387,101.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_11.mp4,0.41824090480804443,0.4182417094707489,0.41816025972366333,0.3118322193622589,0.5188944339752197,0.2732793390750885,94.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_12.mp4,0.36527109146118164,0.15276218950748444,0.15276218950748444,0.2086370438337326,0.14834122359752655,0.2979552149772644,133.0,0.04511278122663498
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_13.mp4,0.4182409942150116,0.41824179887771606,0.41816025972366333,0.3009389340877533,0.47080549597740173,0.2557440400123596,95.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_14.mp4,0.4182409644126892,0.41824179887771606,0.41816025972366333,0.3359180688858032,0.5314233303070068,0.2717483341693878,100.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_15.mp4,0.4227929413318634,0.42333799600601196,0.41706931591033936,0.30863791704177856,0.49588698148727417,0.26338014006614685,104.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_16.mp4,0.418488472700119,0.41892847418785095,0.41816025972366333,0.3018822968006134,0.5414750576019287,0.2677006125450134,120.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_17.mp4,0.41839727759361267,0.4182252287864685,0.4164517819881439,0.3066250681877136,0.48238250613212585,0.26142627000808716,111.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_18.mp4,0.4182407557964325,0.4182417392730713,0.41816025972366333,0.2996765971183777,0.4884079396724701,0.2625831961631775,85.0,0.0
expert,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/expert_19.mp4,0.4182411730289459,0.4182419180870056,0.41816025972366333,0.34561190009117126,0.5451213717460632,0.2512914836406708,118.0,0.0
random,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/random_0.mp4,0.4182416796684265,0.4182423949241638,0.41816025972366333,0.5044828057289124,0.6553187966346741,0.3023412227630615,150.0,0.0
random,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/random_1.mp4,0.41801637411117554,0.4177491068840027,0.4177432060241699,0.2647083103656769,0.23014570772647858,0.3025849163532257,150.0,0.0
random,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/random_2.mp4,0.418241411447525,0.4182418882846832,0.41816025972366333,0.4284508228302002,0.5569436550140381,0.5299643874168396,150.0,0.0
random,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/random_3.mp4,0.41824159026145935,0.41824206709861755,0.41816025972366333,0.6033498048782349,0.6811708211898804,0.2880838215351105,150.0,0.0
random,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/random_4.mp4,0.418241411447525,0.4182417094707489,0.41816025972366333,0.48821553587913513,0.505653977394104,0.24468828737735748,150.0,0.0
random,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/random_5.mp4,0.418241411447525,0.41824162006378174,0.41816025972366333,0.39396798610687256,0.21663309633731842,0.32392221689224243,150.0,0.0
random,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/random_6.mp4,0.4182417392730713,0.4182423949241638,0.41816025972366333,0.3938673436641693,0.32674673199653625,0.24490013718605042,150.0,0.0
random,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/random_7.mp4,0.4182406961917877,0.41824081540107727,0.41816025972366333,0.3579924404621124,0.42572522163391113,0.46793332695961,150.0,0.0
random,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/random_8.mp4,0.41824138164520264,0.41824156045913696,0.41816025972366333,0.3441154956817627,0.4257608652114868,0.5485351085662842,150.0,0.0
random,/Users/justinsmit_studie/Documents/project_hial/HIAL-PROJECT/saved/clips/random_9.mp4,0.41824159026145935,0.41824227571487427,0.41816025972366333,0.5618391633033752,0.582689642906189,0.7266550064086914,150.0,0.0
